Count,URI,Mementos
1,814,0
2,57,1
3,2,11-50
4,1,11-50
5,2,51-99
6,1,11-50
7,16,2-9
8,5,2-9
9,1,100-200
10,1,11-50
11,1,100-200
12,1,2-9
13,4,11-50
14,3,11-50
15,1,201-1000
16,7,2-9
17,17,2-9
18,1,100-200
19,2,11-50
20,1,2-9
21,2,11-50
22,1,1000+
23,1,51-99
24,37,2-9
25,3,11-50
26,4,11-50
27,1,11-50
28,1,201-1000
29,1,1000+
30,1,11-50
31,1,11-50
32,3,11-50
33,1,11-50
34,1,1000+
35,1,11-50
36,1,11-50
37,1,100-200
38,1,11-50
39,1,201-1000
40,1,100-200
41,1,11-50
42,1,11-50
43,1,1000+
44,1,11-50
45,1,2-9
46,1,11-50
47,1,1000+
48,2,11-50
49,1,1000+
50,1,11-50
51,1,51-99
52,1,51-99
53,1,11-50
54,1,11-50
