currentAge,Mementos
360,1
2079,20
2131,15
197,32
194,1
1738,35
381,72
975,157
1,1
1384,38
1586,103
45,4
327,10
282,28
7403,503
6,2
647,3
367,1
507,95
397,20
1074,19
8090,2588
4,1
4296,21
11,11
195,4
3297,84
38,1
19,1
191,2
196,2
5806,37
640,16
23,1
337,10
1308,22
5605,267
1032,52
627,2
3278,20
33,1
10,1
2,2
5,2
465,2
27,1
537,11
409,2
115,30
523,18
46,23
1665,47
1889,1614
21,4
24,2
95,1
3,2
7,2
0,1
32,2
542,1
933,14
427,1
6532,44
1259,38
379,30
3842,366
67,2
324,5
378,3
192,54
6937,32
34,1
380,1
392,1
426,29
14,2
455,6
204,2
443,13
219,3
389,3
1676,6
549,8
174,7
271,3
318,10
131,3
59,16
1377,1064
9,1
79,13
6285,33
74,1
31,1
534,1269
13,13
391,72
440,1
1959,29
226,1
185,14
101,2
1042,32
16,1
