TFIDF    TF    	IDF    	    		URL
-----    --    	---    	    		---
0.0068   0.0102   0.6631   http://comics.trendolizer.com/2019/02/cryptozoic-reveals-wondercon-and-san-diego-comic-con-2019-exclusives-at-new-york-toy-fair.html
0.0028   0.0042   0.6631   https://www.cnbc.com/amp/2019/02/13/jp-morgan-is-rolling-out-the-first-us-bank-backed-cryptocurrency-to-transform-payments--.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter&__twitter_impression=true
0.0014   0.0021   0.6631   https://bit.ly/2Tb7793
0.0018   0.0027   0.6631   https://cointelegraph.com/news/norway-anarcho-capitalist-smart-city-adopts-crypto-as-sole-recognized-medium-of-exchange
0.0007   0.001   0.6631   https://www.coindesk.com/how-sabre-tech-can-stop-hackers-from-splitting-bitcoin-into-two?utm_source=dlvr.it&utm_medium=twitter
0.0014   0.0021   0.6631   http://bit.ly/2S4RwXg
0.0009   0.0014   0.6631   https://tecnoticias.net/2019/02/16/la-nueva-adicion-del-ecosistema-tron-cryptodungeons/
0.0003   0.0004   0.6631   https://goo.gl/fb/YRfzLy
0.0011   0.0017   0.6631   https://tunein.com/podcasts/Business--Economics-Podcasts/The-Bitcoin-Podcast-Network-p1139729/?topicId=129374174
0.0002   0.0003   0.6631   https://ambcrypto.com/quadrigacxs-deceased-ceo-stated-cold-wallet-location-in-5-year-old-podcast/
0.0005   0.0007   0.6631   https://goo.gl/vXnYw8
0.0007   0.0011   0.6631   https://cointelegraph.com/news/cryptos-trade-sideways-with-mild-gains-and-losses-among-top-coins-bitcoin-above-3-600
0.0006   0.0009   0.6631   https://techterrene.com/?p=16261
0.0002   0.0003   0.6631   https://walk4cyber.blogspot.com/2019/02/the-ukrainian-man-stole-half-million.html
0.0008   0.0012   0.6631   https://www.ccn.com/crypto-nightmare-brazil-bitcoin-20000?utm_source=dlvr.it&utm_medium=twitter
0.0003   0.0005   0.6631   https://ethereumworldnews.com/dont-listen-crypto-critics-bitcoin-really-money/
0.0002   0.0003   0.6631   https://www.cryptoonair.com/en/forums/discussion/Service-Announcements/5-10-daily-in-live-account-bitmex-trading-bot-bitmex-signals
0.0003   0.0005   0.6631   http://bit.ly/2V1wKKc
0.0006   0.0009   0.6631   https://www.ccn.com/bitcoin-investors-in-this-european-country-can-now-buy-crypto-at-the-post-office
0.0005   0.0007   0.6631   https://www.forbes.com/sites/kenrapoza/2019/01/17/ex-soviet-state-uzbekistan-considers-new-crypto-move/#323155d022ff
0.0002   0.0003   0.6631   https://www.theblockcrypto.com/2019/02/13/they-asked-us-for-3-million-an-inside-look-into-getting-listed-on-a-crypto-exchange/
0.0003   0.0005   0.6631   https://www.ccn.com/breaking-major-crypto-brokerage-coinmama-hacked-450000-users-affected-in-massive-worldwide-breach/amp
0.0003   0.0005   0.6631   https://www.ccn.com/ready-for-liftoff-fidelitys-bitcoin-custody-service-is-just-weeks-away-from-launch/
0.0002   0.0003   0.6631   http://bit.ly/2STtnaO
0.0002   0.0003   0.6631   https://cointelegraph.com/news/chinese-crypto-miner-predicts-that-bitcoin-could-reach-740k
0.0002   0.0003   0.6631   https://cointelegraph.com/news/indonesia-new-legislation-recognizes-crypto-as-trading-commodity
0.0003   0.0004   0.6631   https://topnews.one/26788-cmes-duffy-crypto-needs-to-brown-nose-governments-to-succeed.html
0.0003   0.0005   0.6631   https://paper.li/PersianLionSun/1392233625?read=https%3A%2F%2Fwww.forbes.com%2Fsites%2Fblackstarcapitalltd%2F2019%2F02%2F08%2Fnew-crypto-platform-zeta-gives-investors-access-to-a-universe-of-hedge-funds%2F
0.0003   0.0004   0.6631   https://www.newsbtc.com/2019/02/14/nasdaqs-bitcoin-and-ethereum-indices-solve-a-major-problem-for-crypto/
0.0006   0.0009   0.6631   https://blocksdecoded.com/best-crypto-youtube-channels/
0.0003   0.0004   0.6631   https://www.ccn.com/breaking-major-crypto-brokerage-coinmama-hacked-450000-users-affected-in-massive-worldwide-breach
0.0002   0.0003   0.6631   https://breakermag.com/we-asked-crypto-news-outlets-if-theyd-take-money-to-cover-a-project-more-than-half-said-yes/
0.0002   0.0003   0.6631   http://coinnews.design/positive-crypto-price-trend-moves-vechain-vet/
0.0002   0.0003   0.6631   https://bitrss.com/news/123359/chainalysis-secures-30m-despite-bitcoin-crash-crypto-venture-money-still-flowing
0.0002   0.0003   0.6631   https://www.newsbtc.com/2019/02/16/chainalysis-secures-30m-bitcoin-crash-crypto-venture-money-flowing/
0.0003   0.0005   0.6631   http://bit.ly/cryptomystery
0.0003   0.0004   0.6631   http://cream.technology/crypto-news/145-general/2160-why-crypto-assets-cryptoneed-to-be-regulated-not-banned
0.0002   0.0003   0.6631   https://blog.nomics.com/flippening/crypto-market-cap-audiobook/#more-1204
